department,zone
AMAZONAS,AMAZONIA
CAQUETA,AMAZONIA
GUAINIA,AMAZONIA
GUAVIARE,AMAZONIA
PUTUMAYO,AMAZONIA
VAUPES,AMAZONIA
ANTIOQUIA,ANDINA
BOGOTA,ANDINA
BOYACA,ANDINA
CALDAS,ANDINA
CUNDINAMARCA,ANDINA
HUILA,ANDINA
NORTESANTANDER,ANDINA
QUINDIO,ANDINA
RISARALDA,ANDINA
SANTANDER,ANDINA
TOLIMA,ANDINA
ATLANTICO,CARIBE
BOLIVAR,CARIBE
CESAR,CARIBE
CORDOBA,CARIBE
LAGUAJIRA,CARIBE
MAGDALENA,CARIBE
SANANDRES,CARIBE
SUCRE,CARIBE
ARAUCA,ORINOQUIA
CASANARE,ORINOQUIA
META,ORINOQUIA
VICHADA,ORINOQUIA
CAUCA,PACIFICO
CHOCO,PACIFICO
NARIÃ‘O,PACIFICO
VALLEDELCAUCA,PACIFICO
